Relevent,Authors,Book Authors,Column1,Article_Title,Source Title,Publication Year,DOI Link,Bat_spp,Method of dietary analysis ,Order,Family,Genus ,Species,Proportion,Classification,Insect reference? ,Method of reference ,Date of sample,Location,State/Prov,Temporal consideration? ,Spatial consideration? ,Age,Notes,LatLong,Easting,Northing,Zone,Hemisphere,
y,Valdez EW; Bogan MA,,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,"http://dx.doi.org/10.3161/150811009X485666""http://dx.doi.org/10.3161/150811009X485666",Myotis_occultus,Microscope guano ,Coleoptera,scarabaeidae,,,5,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,quantity as percentage of volume collected guano under roost and looked at individual pellets,33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,Valdez EW; Bogan MA,,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,curculionidae,,,5,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,alleculidae,,,0.001,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,carabidae,,,19,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,chrysomelidae,,,4,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,heteroceridae,,,1,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,unidentified,,,10,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Coleoptera,,,,43,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Diptera,chironomidae,,,10,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Diptera,culicidae,,,3,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Diptera,unidentified,,,9,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Diptera,,,,21,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hymenoptera,ichneumonidae,,,3,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hymenoptera,braconidae,,,2,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hymenoptera,unidentified,,,15,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hymenoptera,,,,19,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hemiptera,corixidae,,,6,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hemiptera,lygaeidae,,,2,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
y,"Valdez, EW; Bogan, MA",,1,Does variation in cranial morphology of Myotis occultus (Chiroptera: Vespertilionidae) reflect a greater reliance on certain prey types?,ACTA CHIROPTEROLOGICA,2009,http://dx.doi.org/10.3161/150811009X485666,Myotis_occultus,"Microscope, guano ",Hemiptera,pentatomidae,,,0.001,Family,N,N/a,May-03,Central New Mexico,New Mexico,N,N,,"quantity as percentage of volume, collected guano under roost and looked at individual pellets",33°48’14”N; 106°53’39”W,324707,3741913,13,N,
